instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 1.0, 0.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.3276764287643764, 0.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.730047750718293, -0.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.39176352592575653, 1.0
instance, relax, label
inst_1, 0.7778242411435932, 1.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 1.0, 1.0
instance, relax, label
inst_1, 0.0, 0.0
instance, relax, label
inst_1, 0.0, 0.0
